Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
0,128,Hayır,Yarı Otomatik,Önden Çekiş,460.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,9.6,Evet,Otomatik,4WD (Sürekli),1.600.000 TL,Benzinli / 4 silindir,2021 / 2021,250 hp,A / 8 Vites / 4x4,6.5 sn,180 km/saat,1969 cc,Benzinli,6.4 lt
0,68,Hayır,Otomatik,Önden Çekiş,775.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,151,Hayır,Yarı Otomatik,Önden Çekiş,525.000 TL,Dizel / 4 silindir,2014 / 2015,181 hp,Geartronic / 8 Vites / Önden Çekiş,"7,4 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
0,220,Hayır,Manuel,Önden Çekiş,282.500 TL,Dizel / 5 silindir,2007 / 2010,185 hp,Manuel 6 Vites / Önden Çekiş,"8,2 sn",210 km/saat,2400 cc,Dizel,"6,6 lt"
0,160,Hayır,Yarı Otomatik,Önden Çekiş,459.500 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,151,Hayır,Yarı Otomatik,Önden Çekiş,415.000 TL,Benzinli / 4 silindir,2011 / 2011,203 hp,Powershift / 6 Vites / Önden Çekiş,"8,2 sn",230 km/saat,1999 cc,Benzinli,"8,2 lt"
0,233,Hayır,Yarı Otomatik,Önden Çekiş,375.000 TL,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
0,285,Hayır,Yarı Otomatik,Önden Çekiş,275.000 TL,Dizel / 5 silindir,2005 / 2007,185 hp,Geartronic / 6 Vites / Önden Çekiş,-,230 km/saat,2401 cc,Dizel / EURO 4,"7,5 lt"
0,237,Evet,Yarı Otomatik,Önden Çekiş,465.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
